               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,             0.04115,            0.035268,            0.017301,             0.68256,             0.61619,             0.66263,             0.39277,            0.037075,            0.020177,            0.010188,            0.006601,            0.006601,            0.006601
                 105,            0.041131,            0.035394,            0.017066,             0.68385,             0.61596,             0.66311,             0.39338,             0.03706,            0.020171,            0.010178,            0.006568,            0.006568,            0.006568
                 106,            0.041042,            0.035171,            0.017237,             0.67844,             0.62011,             0.66359,             0.39356,            0.037042,            0.020164,            0.010167,            0.006535,            0.006535,            0.006535
                 107,            0.041006,            0.034719,            0.017206,             0.68307,             0.61876,             0.66375,             0.39393,            0.037023,            0.020155,            0.010152,            0.006502,            0.006502,            0.006502
                 108,            0.041097,            0.035266,            0.017098,             0.68087,             0.61972,             0.66492,              0.3947,            0.037002,            0.020145,            0.010139,            0.006469,            0.006469,            0.006469
                 109,            0.041124,            0.034889,            0.017368,             0.68594,              0.6192,             0.66568,             0.39514,            0.036984,            0.020134,            0.010127,            0.006436,            0.006436,            0.006436
                 110,            0.041113,            0.034746,            0.016891,              0.6864,             0.62121,             0.66642,             0.39581,            0.036965,            0.020123,            0.010112,            0.006403,            0.006403,            0.006403
                 111,            0.040916,             0.03502,            0.017035,             0.68972,             0.62044,             0.66742,             0.39654,            0.036943,            0.020112,            0.010097,             0.00637,             0.00637,             0.00637
                 112,            0.040798,            0.034603,            0.016753,             0.69059,             0.62205,              0.6683,             0.39735,            0.036926,            0.020102,            0.010081,            0.006337,            0.006337,            0.006337
                 113,            0.040846,            0.034637,            0.016748,             0.68849,             0.62337,             0.66916,              0.3981,            0.036904,            0.020093,            0.010066,            0.006304,            0.006304,            0.006304
                 114,            0.040999,            0.034874,             0.01672,             0.68896,             0.62362,             0.66951,             0.39863,            0.036885,            0.020085,            0.010054,            0.006271,            0.006271,            0.006271
                 115,            0.041059,            0.034846,            0.016645,              0.6898,             0.62421,             0.67064,             0.39954,            0.036865,            0.020075,            0.010039,            0.006238,            0.006238,            0.006238
                 116,            0.040803,            0.034812,            0.016753,              0.6909,             0.62386,             0.67053,             0.39984,            0.036847,            0.020068,            0.010027,            0.006205,            0.006205,            0.006205
                 117,            0.040598,            0.034791,            0.016787,              0.6914,             0.62511,             0.67117,             0.40024,            0.036829,            0.020062,            0.010012,            0.006172,            0.006172,            0.006172
                 118,            0.040897,            0.034733,            0.016691,             0.69373,             0.62398,             0.67227,             0.40087,             0.03681,            0.020052,           0.0099919,            0.006139,            0.006139,            0.006139
                 119,            0.040778,            0.034595,            0.016702,              0.6945,              0.6245,             0.67271,             0.40145,            0.036789,            0.020045,           0.0099735,            0.006106,            0.006106,            0.006106
                 120,             0.04057,            0.034644,            0.016345,             0.69268,             0.62591,             0.67296,             0.40175,            0.036772,            0.020037,           0.0099609,            0.006073,            0.006073,            0.006073
                 121,            0.040645,            0.034962,            0.016309,             0.69306,             0.62545,              0.6735,             0.40259,            0.036755,            0.020027,           0.0099504,             0.00604,             0.00604,             0.00604
                 122,            0.040291,            0.034409,             0.01663,             0.69181,             0.62639,             0.67383,             0.40308,             0.03674,            0.020019,           0.0099377,            0.006007,            0.006007,            0.006007
                 123,             0.04052,            0.034723,            0.016468,             0.69445,             0.62665,             0.67394,             0.40345,            0.036722,            0.020013,           0.0099216,            0.005974,            0.005974,            0.005974
