               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.041037,            0.034649,            0.016922,             0.67757,             0.61897,             0.66695,             0.39546,            0.037229,             0.02012,           0.0098864,            0.006337,            0.006337,            0.006337
                 113,            0.041054,            0.034608,            0.017106,             0.67349,             0.62432,             0.66756,              0.3961,            0.037207,            0.020112,           0.0098749,            0.006304,            0.006304,            0.006304
                 114,            0.041151,            0.034929,            0.016985,             0.67617,             0.62313,             0.66832,             0.39704,            0.037186,            0.020102,           0.0098618,            0.006271,            0.006271,            0.006271
                 115,            0.041238,            0.034869,            0.016894,             0.67788,             0.62292,             0.66884,             0.39723,            0.037166,            0.020091,             0.00985,            0.006238,            0.006238,            0.006238
                 116,            0.041007,            0.034912,            0.016933,             0.68112,             0.62114,              0.6693,             0.39773,            0.037145,            0.020079,           0.0098355,            0.006205,            0.006205,            0.006205
                 117,            0.040921,            0.034768,             0.01686,             0.67762,             0.62409,             0.66986,             0.39828,            0.037126,            0.020069,           0.0098187,            0.006172,            0.006172,            0.006172
                 118,            0.041046,            0.034742,            0.016902,             0.67845,             0.62491,             0.67063,             0.39885,            0.037105,            0.020059,            0.009806,            0.006139,            0.006139,            0.006139
                 119,            0.040968,            0.034619,            0.016904,             0.68173,              0.6225,             0.67111,             0.39947,             0.03709,            0.020047,           0.0097887,            0.006106,            0.006106,            0.006106
                 120,            0.040722,            0.034614,            0.016427,             0.67955,             0.62489,             0.67175,             0.39989,            0.037068,            0.020036,           0.0097722,            0.006073,            0.006073,            0.006073
                 121,            0.040854,            0.034905,            0.016393,             0.67977,             0.62647,             0.67281,             0.40064,            0.037045,            0.020026,            0.009762,             0.00604,             0.00604,             0.00604
                 122,            0.040507,            0.034436,            0.016645,             0.68069,             0.62771,             0.67334,             0.40116,            0.037027,            0.020016,            0.009745,            0.006007,            0.006007,            0.006007
                 123,            0.040657,            0.034738,            0.016477,             0.67952,             0.63012,             0.67413,             0.40171,            0.037005,            0.020007,           0.0097271,            0.005974,            0.005974,            0.005974
                 124,            0.040463,             0.03443,            0.016158,             0.68218,             0.63048,             0.67494,             0.40226,            0.036984,            0.019998,            0.009707,            0.005941,            0.005941,            0.005941
                 125,            0.040625,            0.034846,            0.016327,             0.68361,             0.63179,             0.67594,             0.40318,            0.036962,            0.019987,           0.0096855,            0.005908,            0.005908,            0.005908
                 126,              0.0405,            0.034817,            0.016191,             0.68782,             0.63013,             0.67662,             0.40367,            0.036944,            0.019979,           0.0096642,            0.005875,            0.005875,            0.005875
                 127,            0.040711,            0.034648,            0.016242,             0.69087,             0.62876,             0.67703,             0.40446,            0.036926,             0.01997,           0.0096502,            0.005842,            0.005842,            0.005842
